"barrio" "censo" "pp" "psoe" "cs" "vox" "masmadrid" "podemos" "otros" "abstencion"
"Palacio" 17424 27.2 12 2.5 4.9 19.5 8.7 1.3 23.9
"Embajadores" 30540 18.8 10.7 1.9 3.5 22.7 12.2 1.4 28.8
"Cortes" 7437 29.9 11 2.8 4.8 18.7 7.3 1.4 24.1
"Justicia" 12760 34 10 3.2 5.5 15.3 5.2 1 25.7
"Universidad" 23422 26.5 11.1 2.8 3.8 20 8.2 1.2 26.5
"Sol" 5115 29.2 10 2.6 5.8 16.1 6.6 1.3 28.3
"Imperial" 18185 34.7 12.1 3.5 6 17.3 6.7 1.1 18.5
"Acacias" 29779 33.7 13.4 3.5 5.1 18.2 6.9 1.2 18
"Chopera" 15294 29 12.8 2.5 4.7 18.5 8.3 1.2 23.2
"Legazpi" 14446 34.8 12 4.7 5 18.5 5.8 1.3 17.9
"Delicias" 21039 33.1 12.3 3.4 5.3 18 6.8 1.4 19.7
"Palos de Moguer" 19552 30 11.4 2.9 4.9 18.6 7.6 1.3 23.3
"Atocha" 1041 30.7 12.1 5.4 7.3 19.1 6.8 1.4 17.1
"Pacifico" 26581 38.5 11.6 3.4 6.3 14.7 5 1.2 19.3
"Adelfas" 14655 38.1 11.9 4.1 6.8 15.5 5.1 1.3 17.2
"Estrella" 18803 47.5 10 3.7 7.5 11.2 3.7 0.9 15.5
"Ibiza" 16353 43.1 9.6 3.8 7 12.1 3.7 1.2 19.5
"Jeronimos" 5355 47.5 6.9 2.9 9.4 8.3 3.2 0.7 21.1
"Nino Jesus" 12064 51.6 7.8 4.1 8.6 9.8 2.7 1 14.4
"Recoletos" 11097 58.5 4.6 2.4 10 3.6 1 0.7 19.1
"Goya" 21937 49.2 8 3.3 8 7.5 2.6 1 20.5
"Fuente del Berro" 16070 40.9 10.9 3.6 6.2 12.2 4.1 1.4 20.8
"Guindalera" 32253 44.6 9 3.6 7.7 11.4 3.4 1.1 19.1
"Lista" 15441 51.5 7.4 2.7 8.9 7.5 2.5 0.8 18.8
"Castellana" 12033 60 3.9 2.4 11.2 3.4 1 0.6 17.5
"El Viso" 12901 63 4.5 2.4 10.2 3.8 1 0.7 14.5
"Prosperidad" 28437 43.4 10.7 3.6 6.9 11.7 4.2 1.4 18.3
"Ciudad Jardin" 14066 40.4 10.6 3.7 6.6 12.5 4.8 1.1 20.4
"Hispanoamerica" 24435 54.8 6.7 3.6 8.8 6.6 2.1 0.9 16.6
"Nueva Espana" 18082 59.1 5.4 3.4 9.5 5.3 1.5 0.7 15
"Castilla" 13064 50.9 8.2 3.6 8.6 7.9 2.5 0.9 17.5
"Bellas Vistas" 19435 29.4 12.3 2.7 4.9 13.1 5.9 1.3 30.3
"Cuatro Caminos" 25907 44.4 9.3 3 7.3 9.7 3.4 1.2 21.6
"Castillejos" 15600 46.5 8.2 3.1 8.1 9 2.9 1 21.2
"Almenara" 16497 28.8 12.1 2.4 6.4 12.3 6.3 1.4 30.3
"Valdeacederas" 17402 26.7 12.1 2.4 5 14.4 5.9 1.7 31.7
"Berruguete" 16690 28.5 11.8 2.3 5.3 14.1 5.8 1.4 30.9
"Gaztambide" 17897 42.7 9.5 3.8 7.4 12 4 1.2 19.5
"Arapiles" 18834 40.1 10.6 3.6 6.1 13.4 4.7 1.5 19.8
"Trafalgar" 18677 38.9 10.5 3.7 5.8 14.5 5 1.2 20.3
"Almagro" 14612 54.6 6.9 3.2 8.6 6.7 2.2 0.7 17.1
"Rios Rosas" 21000 46.3 9 3.5 7.1 10.4 3.6 0.9 19.2
"Vallehermoso" 16170 51.4 7.9 3.7 8.7 9 2.9 1.2 15.3
"El Pardo" 2840 40.7 8.5 1.5 12.2 7.6 3.1 1.2 25.1
"Fuentelarreina" 2495 61.2 5 3.1 11.4 3 1 0.9 14.5
"Pena Grande" 34812 39.4 13.1 3.3 6.4 12.4 4.2 1.2 20
"El Pilar" 35746 34.1 13.9 2.8 5.6 12.7 5.1 1.4 24.4
"La Paz" 27371 46.4 12.8 4.1 7 10.5 2.9 1 15.2
